PartyBanter/&Cynical1_Trap_Detected_Self	Wait! A trap!
PartyBanter/&Serious3_Normal_Hit_Given_Self	More coming your way.
PartyBanter/&Serious4_Normal_Hit_Given_Self	You'll die like the rest!
PartyBanter/&Serious5_Normal_Hit_Given_Self	No quarter given!
PartyBanter/&Serious1_Missed_Attack_Self	Damn!
PartyBanter/&Serious2_Missed_Attack_Self	No!
PartyBanter/&Serious3_Missed_Attack_Self	Come on!
PartyBanter/&Serious4_Missed_Attack_Self	I won't miss next time!
PartyBanter/&Serious5_Missed_Attack_Self	You'll die anyway!
PartyBanter/&Serious1_Kill_Enemy_Self	I win again.
PartyBanter/&Serious2_Kill_Enemy_Self	You lose.
PartyBanter/&Serious3_Kill_Enemy_Self	Go to hell!
PartyBanter/&Serious4_Kill_Enemy_Self	You're not coming back.
PartyBanter/&Serious5_Kill_Enemy_Self	You didn't get me.
PartyBanter/&Serious1_Healed_by_ally_Self	Thanks.
PartyBanter/&Serious2_Healed_by_ally_Self	I'll remember.
PartyBanter/&Serious3_Healed_by_ally_Self	I owe you one.
PartyBanter/&Serious1_Allied_KnockedDown_Self	Come on! 
PartyBanter/&Serious2_Allied_KnockedDown_Self	Don't let me down!
PartyBanter/&Serious3_Allied_KnockedDown_Self	No!
PartyBanter/&Serious1_Trap_Trigerred_Other	What an idiot!
PartyBanter/&Serious2_Trap_Trigerred_Other	Open your damn eyes!
PartyBanter/&Serious3_Trap_Trigerred_Other	Pay attention!
PartyBanter/&Serious1_Trap_Disarmed_Other	Well done!
PartyBanter/&Serious2_Trap_Disarmed_Other	One less problem.
PartyBanter/&Serious3_Trap_Disarmed_Other	I hate those!
PartyBanter/&Serious1_Long_Jump_Other	That was something!
PartyBanter/&Serious2_Long_Jump_Other	Nice jump!
PartyBanter/&Serious3_Long_Jump_Other	Well done!
PartyBanter/&Serious1_High_Climb_Other	Good arms you got!
PartyBanter/&Serious2_High_Climb_Other	Didn't think you could do it!
PartyBanter/&Serious3_High_Climb_Other	Okay, you're tough.
PartyBanter/&Serious1_Break_Stealth_Other	Clumsy!
PartyBanter/&Serious2_Break_Stealth_Other	I don't believe it!
PartyBanter/&Serious3_Break_Stealth_Other	You'll get us all killed!
PartyBanter/&Serious1_Pushing_Heavy_Other	Come on, harder!
PartyBanter/&Serious2_Pushing_Heavy_Other	Push!
PartyBanter/&Serious1_Crawling_Other	Dive in the dirt, now.
PartyBanter/&Serious2_Crawling_Other	Crawling through dirt - nothing new here.
PartyBanter/&Serious1_Critical_Hit_Received_Other	You'll get a nice scar!
PartyBanter/&Serious2_Critical_Hit_Received_Other	If it doesn't kill you…
PartyBanter/&Serious1_Normal_Hit_Received_Other	Walk it off!
PartyBanter/&Serious2_Normal_Hit_Received_Other	Deal with it!
PartyBanter/&Serious1_Critical_Hit_Given_Other	That's the way!
PartyBanter/&Serious2_Critical_Hit_Given_Other	Kill 'em all!
PartyBanter/&Serious3_Critical_Hit_Given_Other	Crush 'em!
PartyBanter/&Serious1_Normal_Hit_Given_Other	Again! Harder!
PartyBanter/&Serious2_Normal_Hit_Given_Other	More!
PartyBanter/&Serious3_Normal_Hit_Given_Other	That's battle!
PartyBanter/&Serious1_Missed_Attack_Other	You suck!
PartyBanter/&Serious2_Missed_Attack_Other	Stop that!
PartyBanter/&Serious3_Missed_Attack_Other	I thought you could fight!
PartyBanter/&Serious1_Kill_Enemy_Other	That, I like!
PartyBanter/&Serious2_Kill_Enemy_Other	Keep 'em coming!
PartyBanter/&Serious3_Kill_Enemy_Other	Good kill!
PartyBanter/&Heroic1_Trap_Detected_Self	Hold it - I see a trap!
PartyBanter/&Heroic2_Trap_Detected_Self	Everybody freeze!
PartyBanter/&Heroic3_Trap_Detected_Self	Wait! I see a trap.
PartyBanter/&Heroic1_Secret_door_Detected_Self	Friends! There's a hidden door here!
PartyBanter/&Heroic2_Secret_door_Detected_Self	Look at that - a secret door!
PartyBanter/&Heroic3_Secret_door_Detected_Self	Thought I'd miss you, eh?
PartyBanter/&Heroic1_Trap_Trigerred_Self	No!
PartyBanter/&Heroic2_Trap_Trigerred_Self	Sorry for that!
PartyBanter/&Heroic3_Trap_Trigerred_Self	I'm such an idiot!
PartyBanter/&Heroic1_Trap_Disarmed_Self	That wasn't so bad.
PartyBanter/&Heroic2_Trap_Disarmed_Self	I think I did it.
PartyBanter/&Heroic3_Trap_Disarmed_Self	Mission accomplished.
PartyBanter/&Heroic1_Light_up_Self	The Light is with us.
PartyBanter/&Heroic2_Light_up_Self	The Light will guide us.
PartyBanter/&Heroic3_Light_up_Self	We bring light in darkness!
PartyBanter/&Heroic1_Break_Stealth_Self	Oops!
PartyBanter/&Heroic2_Break_Stealth_Self	Sorry!
PartyBanter/&Heroic3_Break_Stealth_Self	I know, I know!
PartyBanter/&Heroic1_Critical_Hit_Given_Self	Surrender or die!
PartyBanter/&Heroic2_Critical_Hit_Given_Self	I take no prisoners!
PartyBanter/&Heroic3_Critical_Hit_Given_Self	I will kill you.
PartyBanter/&Heroic1_Normal_Hit_Given_Self	Bend the knee or perish!
PartyBanter/&Heroic2_Normal_Hit_Given_Self	Run while you can!
PartyBanter/&Heroic3_Normal_Hit_Given_Self	You can't win!
PartyBanter/&Heroic4_Normal_Hit_Given_Self	I am unbeatable!
PartyBanter/&Heroic5_Normal_Hit_Given_Self	You cannot defeat me!
PartyBanter/&Heroic1_Missed_Attack_Self	Damn!
PartyBanter/&Heroic2_Missed_Attack_Self	Come on!
PartyBanter/&Heroic3_Missed_Attack_Self	I must do better!
PartyBanter/&Heroic4_Missed_Attack_Self	I'm getting the measure of this!
PartyBanter/&Heroic5_Missed_Attack_Self	Next time!
PartyBanter/&Heroic1_Kill_Enemy_Self	Once more, we prevail!
PartyBanter/&Heroic2_Kill_Enemy_Self	Another victory! This is destiny!
PartyBanter/&Heroic3_Kill_Enemy_Self	You were doomed.
PartyBanter/&Heroic4_Kill_Enemy_Self	You should have fled.
PartyBanter/&Heroic5_Kill_Enemy_Self	You should have yielded.
PartyBanter/&Heroic1_Healed_by_ally_Self	I'm in your debt, my friend.
PartyBanter/&Heroic2_Healed_by_ally_Self	I will not forget this.
PartyBanter/&Heroic3_Healed_by_ally_Self	I owe you my life.
PartyBanter/&Heroic1_Allied_KnockedDown_Self	Hold on to life, friend!
PartyBanter/&Heroic2_Allied_KnockedDown_Self	We won't let you die!
PartyBanter/&Heroic3_Allied_KnockedDown_Self	We leave no one behind!
PartyBanter/&Heroic1_Trap_Trigerred_Other	Closer attention required, friend!
PartyBanter/&Heroic2_Trap_Trigerred_Other	You're lacking focus.
PartyBanter/&Heroic3_Trap_Trigerred_Other	A little bit of caution here, please?
PartyBanter/&Heroic1_Trap_Disarmed_Other	Good work!
PartyBanter/&Heroic2_Trap_Disarmed_Other	Well done, friend!
PartyBanter/&Heroic3_Trap_Disarmed_Other	Your skills are impressive!
PartyBanter/&Heroic1_Long_Jump_Other	What a fantastic leap!
PartyBanter/&Heroic2_Long_Jump_Other	You have trained well!
PartyBanter/&Heroic3_Long_Jump_Other	I'm impressed!
PartyBanter/&Heroic1_High_Climb_Other	That's impressive.
PartyBanter/&Heroic2_High_Climb_Other	You're impressively fit.
PartyBanter/&Heroic3_High_Climb_Other	I underestimated you. My apologies!
PartyBanter/&Heroic1_Break_Stealth_Other	That wasn't smart.
PartyBanter/&Heroic2_Break_Stealth_Other	You'll need to do better than that!
PartyBanter/&Heroic3_Break_Stealth_Other	More caution next time!
PartyBanter/&Heroic1_Pushing_Heavy_Other	With all your might!
PartyBanter/&Heroic2_Pushing_Heavy_Other	You can do it!
PartyBanter/&Heroic1_Crawling_Other	Sometimes there is simply no choice.
PartyBanter/&Heroic2_Crawling_Other	I don't like it either.
PartyBanter/&Heroic1_Critical_Hit_Received_Other	Courage!
PartyBanter/&Heroic2_Critical_Hit_Received_Other	You're still standing!
PartyBanter/&Heroic1_Normal_Hit_Received_Other	You can take it!
PartyBanter/&Heroic2_Normal_Hit_Received_Other	Shake it off!
PartyBanter/&Heroic1_Critical_Hit_Given_Other	That's the way!
PartyBanter/&Heroic2_Critical_Hit_Given_Other	Masterful!
PartyBanter/&Heroic3_Critical_Hit_Given_Other	You'll surely prevail!
PartyBanter/&Heroic1_Normal_Hit_Given_Other	Well struck!
PartyBanter/&Heroic2_Normal_Hit_Given_Other	Perfect!
PartyBanter/&Heroic3_Normal_Hit_Given_Other	Go on!
PartyBanter/&Heroic1_Missed_Attack_Other	Better luck next time!
PartyBanter/&Heroic2_Missed_Attack_Other	Don't lose hope!
PartyBanter/&Heroic3_Missed_Attack_Other	Just bad luck!
PartyBanter/&Heroic1_Kill_Enemy_Other	Victory is yours!
PartyBanter/&Heroic2_Kill_Enemy_Other	Impressive move, my friend!
PartyBanter/&Heroic3_Kill_Enemy_Other	Nobody has your skills, bravo!
PartyBanter/&Formal1_Trap_Detected_Self	A crude trap.
PartyBanter/&Formal2_Trap_Detected_Self	We won't be fooled so easily.
PartyBanter/&Formal3_Trap_Detected_Self	I spotted a trap of sorts.
PartyBanter/&Formal1_Secret_door_Detected_Self	I believe there is a hidden door.
PartyBanter/&Formal2_Secret_door_Detected_Self	This has to be a secret passage.
PartyBanter/&Formal3_Secret_door_Detected_Self	Interesting - a secret door.
PartyBanter/&Formal1_Trap_Trigerred_Self	How foolish of me!
PartyBanter/&Formal2_Trap_Trigerred_Self	How could I miss it?
PartyBanter/&Formal3_Trap_Trigerred_Self	I really must be more careful.
PartyBanter/&Formal1_Trap_Disarmed_Self	That was simplicity itself!
PartyBanter/&Formal2_Trap_Disarmed_Self	Not as taxing as I expected.
PartyBanter/&Formal3_Trap_Disarmed_Self	Ingenious, but not unbeatable.
PartyBanter/&Formal1_Light_up_Self	A little light is always welcome.
PartyBanter/&Formal2_Light_up_Self	Let there be light!
PartyBanter/&Formal3_Light_up_Self	Blessed are the Lightbringers!
PartyBanter/&Formal1_Break_Stealth_Self	Curses! My fault.
PartyBanter/&Formal2_Break_Stealth_Self	I really thought I… never mind.
PartyBanter/&Formal3_Break_Stealth_Self	How tiresome.
PartyBanter/&Formal1_Critical_Hit_Given_Self	Hah! Take that, you fiend!
PartyBanter/&Formal2_Critical_Hit_Given_Self	Just where it hurts most!
PartyBanter/&Formal3_Critical_Hit_Given_Self	Death reaches out for you!
PartyBanter/&Formal1_Normal_Hit_Given_Self	Not bad, eh?
PartyBanter/&Formal2_Normal_Hit_Given_Self	A modest success!
PartyBanter/&Formal3_Normal_Hit_Given_Self	A palpable hit!
PartyBanter/&Formal4_Normal_Hit_Given_Self	Lucky? Perhaps.
PartyBanter/&Formal5_Normal_Hit_Given_Self	I trained hard for this!
PartyBanter/&Formal1_Missed_Attack_Self	Fortune is fickle!
PartyBanter/&Formal2_Missed_Attack_Self	Most unfortunate, that.
PartyBanter/&Formal3_Missed_Attack_Self	Only the last blow matters!
PartyBanter/&Formal4_Missed_Attack_Self	Next time, I swear…
PartyBanter/&Formal5_Missed_Attack_Self	I'll get you yet!
PartyBanter/&Formal1_Kill_Enemy_Self	One foe down!
PartyBanter/&Formal2_Kill_Enemy_Self	Death claims you!
PartyBanter/&Formal3_Kill_Enemy_Self	Victory is mine!
PartyBanter/&Formal4_Kill_Enemy_Self	A victory fit for a song!
PartyBanter/&Formal5_Kill_Enemy_Self	Another victory!
PartyBanter/&Formal1_Healed_by_ally_Self	You are a true savior.
PartyBanter/&Formal2_Healed_by_ally_Self	You are a valued comrade.
PartyBanter/&Formal3_Healed_by_ally_Self	I am in your debt, my friend.
PartyBanter/&Formal1_Allied_KnockedDown_Self	The fight is not yet over!
PartyBanter/&Formal2_Allied_KnockedDown_Self	Your comrades will save you!
PartyBanter/&Formal3_Allied_KnockedDown_Self	We are coming!
PartyBanter/&Formal1_Trap_Trigerred_Other	Tsk. An elementary mistake.
PartyBanter/&Formal2_Trap_Trigerred_Other	Watch your step, friend!
PartyBanter/&Formal3_Trap_Trigerred_Other	A dangerous error.
PartyBanter/&Formal1_Trap_Disarmed_Other	Perfectly executed!
PartyBanter/&Formal2_Trap_Disarmed_Other	My congratulations on a job well done.
PartyBanter/&Formal3_Trap_Disarmed_Other	Your skill is impressive.
PartyBanter/&Formal1_Long_Jump_Other	An extraordinary jump!
PartyBanter/&Formal2_Long_Jump_Other	Most impressive!
PartyBanter/&Formal3_Long_Jump_Other	Such athleticism!
PartyBanter/&Formal1_High_Climb_Other	What strength!
PartyBanter/&Formal2_High_Climb_Other	It seems effortless!
PartyBanter/&Formal3_High_Climb_Other	Clearly you have trained well.
PartyBanter/&Formal1_Break_Stealth_Other	Even the dead could hear you!
PartyBanter/&Formal2_Break_Stealth_Other	Of course you've been detected!
PartyBanter/&Formal3_Break_Stealth_Other	Perhaps if you tried to be loud, instead?
PartyBanter/&Formal1_Pushing_Heavy_Other	You can do it!
PartyBanter/&Formal2_Pushing_Heavy_Other	Heave, now - all your strength!
PartyBanter/&Formal1_Crawling_Other	Undignified, but necessary.
PartyBanter/&Formal2_Crawling_Other	Kneel now, rise later.
PartyBanter/&Formal1_Critical_Hit_Received_Other	Are you still with us?
PartyBanter/&Formal2_Critical_Hit_Received_Other	That was a lucky hit!
PartyBanter/&Formal1_Normal_Hit_Received_Other	Hold firm - you've endured worse!
PartyBanter/&Formal2_Normal_Hit_Received_Other	You're still in the fight, my friend!
PartyBanter/&Formal1_Critical_Hit_Given_Other	A telling blow!
PartyBanter/&Formal2_Critical_Hit_Given_Other	A fine stroke!
PartyBanter/&Formal3_Critical_Hit_Given_Other	Truly formidable!
PartyBanter/&Formal1_Normal_Hit_Given_Other	Well struck!
PartyBanter/&Formal2_Normal_Hit_Given_Other	Well done!
PartyBanter/&Formal3_Normal_Hit_Given_Other	You have them now!
PartyBanter/&Formal1_Missed_Attack_Other	Oh! Bad luck!
PartyBanter/&Formal2_Missed_Attack_Other	Next time!
PartyBanter/&Formal3_Missed_Attack_Other	Try again!
PartyBanter/&Formal1_Kill_Enemy_Other	Bravo! Victory is yours!
PartyBanter/&Formal2_Kill_Enemy_Other	A good kill, as they say.
PartyBanter/&Formal3_Kill_Enemy_Other	One less enemy!
PartyBanter/&None1_Thief_Detected_Self	Leave me be, you thief!
PartyBanter/&None2_Thief_Detected_Self	Damn thieves…
PartyBanter/&None3_Thief_Detected_Self	Hands off!
PartyBanter/&None4_Thief_Detected_Self	So, this is who you are.
