Class/&WitchArmorProficiencyDescription	Armadura leve.
Class/&WitchMaledictionPoxDescription	Com uma ação, escolha uma criatura que você possa ver a até 1,5 metro para fazer um teste de resistência de Constituição. Se falhar na resistência, a criatura fica envenenada até o final do seu próximo turno.
Class/&WitchMaledictionPoxTitle	Maldição da varíola
Class/&WitchMaledictionRuinDescription	Com uma ação, escolha uma criatura que você possa ver a até 18 metros para fazer um teste de resistência de Constituição. Se falhar na resistência, a Classe de Armadura da criatura diminui em 3, para um mínimo de 10, até o final do seu próximo turno.
Class/&WitchMaledictionRuinTitle	Arruinar Maldição
Class/&WitchRitualCastingMagicAffinityDescription	Você pode lançar um feitiço de bruxa como um ritual se esse feitiço tiver a etiqueta ritual e você tiver o feitiço preparado.
Class/&WitchRitualCastingMagicAffinityTitle	Fundição Ritual
Class/&WitchSavingthrowProficiencyDescription	Sabedoria, Carisma.
Class/&WitchSavingthrowProficiencyTitle	Proficiências em Testes de Resistência da Bruxa
Class/&WitchSkillProficiencyDescription	Escolha dois de Arcana, Deception, Insight, Intimidation, Persuasion, Nature e Religion.
Class/&WitchSkillProficiencyTitle	Habilidades de bruxa
Class/&WitchSpellcastingDescription	Você é uma bruxa que é capaz de lançar feitiços da lista de feitiços de bruxa.
Class/&WitchSpellcastingTitle	Feitiço de Bruxa
Class/&WitchTitle	Bruxa
Class/&WitchToolProficiencyDescription	Escolha um do Kit Herbalist e Kit do Poisoner.
Class/&WitchToolProficiencyTitle	Proficiências em Ferramentas de Bruxa
Class/&WitchVisionsInitiativeDescription	Você adiciona seu modificador de Carisma às suas rolagens de iniciativa.
Class/&WitchVisionsInitiativeTitle	Iniciativa Visões
Class/&WitchWeaponProficiencyDescription	Armas Simples.
Class/&WitchWeaponProficiencyTitle	Proficiências com Armas de Bruxa
Condition/&AbateDescription	Não pode usar reações.
Condition/&AbateTitle	Abater
Condition/&ApathyDescription	Indiferente à criatura alvo contra a qual é hostil. Essa indiferença termina se o alvo for atacado ou ferido por uma magia da criatura alvo.
Condition/&ApathyTitle	Apatia
Condition/&CharmDescription	Considera o lançador um aliado.
Condition/&CharmTitle	Encantado
Condition/&DebilitatedConditionDescription	Sofre de uma das seguintes condições: cego, ruína, sangrando ou atordoado.
Condition/&DebilitatedConditionTitle	Debilitado
Condition/&DisorientDescription	-1d6 nas jogadas de ataque.
Condition/&DisorientTitle	Desorientado
Condition/&EvilEyeDescription	Assustado. Incapaz de se aproximar da fonte do medo, desvantagem nas jogadas de ataque e testes de habilidade enquanto a fonte do medo está à vista.
Condition/&EvilEyeTitle	Mau-olhado
Condition/&FrenziedDescription	Esta criatura está frenética e atacará a criatura mais próxima.
Condition/&FrenziedTitle	Frenético
Condition/&PoxDescription	Condição de varíola.
Condition/&PoxTitle	Varíola
Condition/&RuinDescription	Penalidade de -3 AC, até um máximo de -10 AC.
Condition/&RuinedDescription	Penalidade de -3 AC, até um máximo de -10 AC.
Condition/&RuinedTitle	Arruinado
Condition/&RuinTitle	Ruína
Feature/&ClassWitchMaledictionReplaceDescription	Selecione Maldição para substituir.
Feature/&ClassWitchMaledictionReplaceTitle	Substituir Maldição
Feature/&WitchCurseChoiceDescription	Você é arruinado por uma terrível maldição que infecta seu corpo e sua alma.
Feature/&WitchCurseChoiceTitle	Maldição da Bruxa
Feature/&WitchMaledictionChoiceDescription	Você pode aprender vários encantamentos poderosos, conhecidos como Maldições, derivados da mesma magia insidiosa que o amaldiçoou.
Feature/&WitchMaledictionChoiceTitle	Maldições
Feature/&WitchSightDescription	Você pode sentir ou ver criaturas invisíveis a até 18 metros de você.
Feature/&WitchSightTitle	Visão da Bruxa
Modifier/&AttributeModifierRuinDescription	-3 na Classe de Armadura.
Modifier/&AttributeModifierRuinTitle	Arruinado
Modifier/&DisorientDescription	-1d6 nas jogadas de ataque.
Modifier/&DisorientTitle	Desorientado
Monster/&WitchOwlFamiliarDescription	Coruja Familiar.
Monster/&WitchOwlFamiliarTitle	Coruja
Screen/&CovenSpellDescription	Feitiço conhecido como parte de um Coven.
Screen/&CovenSpellHeader	Conventículo
Screen/&CovenSpellTitle	Conventículo
Screen/&WitchSpellDescription	Feitiços conhecidos como Bruxa.
Screen/&WitchSpellHeader	Bruxa
Screen/&WitchSpellTitle	Bruxa
Spell/&WitchFamiliarDescription	Você ganha o serviço de um familiar.
Spell/&WitchFamiliarTitle	Bruxo Familiar
Stage/&SubclassSelectionStageCovenDescription	Conventículo.
Stage/&SubclassSelectionStageCovenFeaturesDescription	Conventículo.
Stage/&SubclassSelectionStageCovenFeaturesHeader	Recursos do Coven
Stage/&SubclassSelectionStageCovenFeaturesTitle	Conventículo
Stage/&SubclassSelectionStageCovenHeader	Selecione um Coven
Stage/&SubclassSelectionStageCovenTitle	Conventículo
Subclass/&BloodWitchDescription	Proibida pela maioria dos covens de Bruxas, a magia do sangue se concentra no uso de feitiços sombrios e feitiços mortais que extraem da própria essência do conjurador. É fundamentalmente mais perigoso do que outros ofícios de bruxa, mas seus muitos riscos vêm com recompensas abundantes.
Subclass/&BloodWitchMagicDescription	Você ganha as seguintes magias. Esses feitiços contam como feitiços de Bruxa para você e não contam para o número total de feitiços conhecidos:\n {0}
Subclass/&BloodWitchMagicTitle	Magia de Sangue
Subclass/&BloodWitchTitle	Bruxa de Sangue
Subclass/&GreenWitchDescription	Plantas, natureza e coisas que crescem são o domínio da magia verde. Normalmente um tipo de arcana defendido por druidas, algumas bruxas têm uma ligação estreita com os poderes da magia verde, e podem persuadir plantas e animais em suas ordens.
Subclass/&GreenWitchMagicDescription	Você ganha as seguintes magias. Esses feitiços contam como feitiços de Bruxa para você e não contam para o número total de feitiços conhecidos:\n{0}
Subclass/&GreenWitchMagicTitle	Magia Verde
Subclass/&GreenWitchTitle	Bruxa Verde
Subclass/&PurpleWitchDescription	A magia púrpura domina os domínios das ilusões e encantamentos que dominam a mente das pessoas, e qualquer coisa que não seja exatamente o que parece. Os praticantes desta forma de magia são mestres de marionetes, moldando a realidade aparente daqueles ao seu redor a seu favor.
Subclass/&PurpleWitchMagicDescription	Você ganha as seguintes magias. Esses feitiços contam como feitiços de Bruxa para você e não contam para o número total de feitiços conhecidos:\n {0}
Subclass/&PurpleWitchMagicTitle	Magia Roxa
Subclass/&PurpleWitchTitle	Bruxa Púrpura
Subclass/&RedWitchDescription	A magia arcana ligada à canalização dos elementos é considerada magia vermelha e é extremamente perigosa quando usada. Bruxas que se especializam em magia vermelha estão entre os conjuradores mais mortais que existem, canalizando sua maldição em ira arcana desimpedida.
Subclass/&RedWitchMagicDescription	Você ganha as seguintes magias. Esses feitiços contam como feitiços de Bruxa para você e não contam para o número total de feitiços conhecidos:\n {0}
Subclass/&RedWitchMagicTitle	Magia Vermelha
Subclass/&RedWitchTitle	Bruxa Vermelha
Subclass/&WhiteWitchDescription	A magia branca é fundamentalmente boa e benevolente para todas as coisas vivas. As bruxas que adotam esse ofício, apesar da odiosa maldição que as infecta, muitas vezes se dedicam à cura e ao cuidado, com a intenção de melhorar o mundo.
Subclass/&WhiteWitchMagicDescription	Você ganha as seguintes magias. Esses feitiços contam como feitiços de Bruxa para você e não contam para o número total de feitiços conhecidos:\n {0}
Subclass/&WhiteWitchMagicTitle	Magia branca
Subclass/&WhiteWitchTitle	bruxa branca
Subclass/&WitchSubclassPathDescription	Seu conhecimento de magia culminou em se juntar a um Coven, um círculo inato de bruxas que se aprofundam em um caminho específico de bruxaria e maldições.
Subclass/&WitchSubclassPathTitle	Covens de bruxas
Tooltip/&TagMaledictionTitle	Caramba
