PartyBanter/&Cynical1_Trap_Detected_Self	Espera! Uma armadilha!
PartyBanter/&Serious2_Critical_Hit_Given_Other	Mata geral!
PartyBanter/&Serious3_Critical_Hit_Given_Other	Acaba com eles!
PartyBanter/&Serious1_Normal_Hit_Given_Other	De novo! Mais forte!
PartyBanter/&Serious2_Normal_Hit_Given_Other	Mais!
PartyBanter/&Serious3_Normal_Hit_Given_Other	Que batalha!
PartyBanter/&Serious1_Missed_Attack_Other	Você não presta!
PartyBanter/&Serious2_Missed_Attack_Other	Para com isso!
PartyBanter/&Serious3_Missed_Attack_Other	Achei que você sabia lutar!
PartyBanter/&Serious1_Kill_Enemy_Other	Gostei disso!
PartyBanter/&Serious2_Kill_Enemy_Other	Continua mandando!
PartyBanter/&Serious3_Kill_Enemy_Other	Matou direitinho!
PartyBanter/&Heroic1_Trap_Detected_Self	Espera. Estou vendo uma armadilha!
PartyBanter/&Heroic2_Trap_Detected_Self	Ninguém se mexe!
PartyBanter/&Heroic3_Trap_Detected_Self	Espera! Estou vendo uma armadilha.
PartyBanter/&Heroic1_Secret_door_Detected_Self	Ei! Tem uma porta escondida aqui!
PartyBanter/&Heroic2_Secret_door_Detected_Self	Vejam só... uma porta secreta!
PartyBanter/&Heroic3_Secret_door_Detected_Self	Achou que eu não ia te ver, né?
PartyBanter/&Heroic1_Trap_Trigerred_Self	Não!
PartyBanter/&Heroic2_Trap_Trigerred_Self	Desculpa por isso!
PartyBanter/&Heroic3_Trap_Trigerred_Self	Eu sou tão idiota!
PartyBanter/&Heroic1_Trap_Disarmed_Self	Não foi tão ruim assim.
PartyBanter/&Heroic2_Trap_Disarmed_Self	Acho que eu consegui.
PartyBanter/&Heroic3_Trap_Disarmed_Self	Missão cumprida.
PartyBanter/&Heroic1_Light_up_Self	A luz está conosco.
PartyBanter/&Heroic2_Light_up_Self	A luz nos guiará.
PartyBanter/&Heroic3_Light_up_Self	Trazemos luz às trevas!
PartyBanter/&Heroic1_Break_Stealth_Self	Ops!
PartyBanter/&Heroic2_Break_Stealth_Self	Desculpa!
PartyBanter/&Heroic3_Break_Stealth_Self	Já sei, já sei!
PartyBanter/&Heroic1_Critical_Hit_Given_Self	Renda-se ou morra!
PartyBanter/&Heroic2_Critical_Hit_Given_Self	Eu não faço prisioneiros!
PartyBanter/&Heroic3_Critical_Hit_Given_Self	Eu vou matar você.
PartyBanter/&Heroic1_Normal_Hit_Given_Self	Ajoelhe-se ou morra!
PartyBanter/&Heroic2_Normal_Hit_Given_Self	Corra enquanto pode!
PartyBanter/&Heroic3_Normal_Hit_Given_Self	Você não conseguirá vencer!
PartyBanter/&Heroic4_Normal_Hit_Given_Self	Eu sou imbatível!
PartyBanter/&Heroic5_Normal_Hit_Given_Self	Você não pode me derrotar!
PartyBanter/&Heroic1_Missed_Attack_Self	Droga!
PartyBanter/&Heroic2_Missed_Attack_Self	Qual é!
PartyBanter/&Heroic3_Missed_Attack_Self	Tenho que melhorar!
PartyBanter/&Heroic4_Missed_Attack_Self	Ainda estou pegando o jeito!
PartyBanter/&Heroic5_Missed_Attack_Self	Na próxima, vai!
PartyBanter/&Heroic1_Kill_Enemy_Self	Mais uma vez, triunfamos!
PartyBanter/&Heroic2_Kill_Enemy_Self	Mais uma vitória! É o destino!
PartyBanter/&Heroic3_Kill_Enemy_Self	É o nosso fim.
PartyBanter/&Heroic4_Kill_Enemy_Self	Devíamos ter fugido.
PartyBanter/&Heroic5_Kill_Enemy_Self	Devíamos ter desistido.
PartyBanter/&Heroic1_Healed_by_ally_Self	Estou te devendo, camarada.
PartyBanter/&Heroic2_Healed_by_ally_Self	Não me esquecerei.
PartyBanter/&Heroic3_Healed_by_ally_Self	Te devo a minha vida.
PartyBanter/&Heroic1_Allied_KnockedDown_Self	Agarre-se à vida, camarada!
PartyBanter/&Heroic2_Allied_KnockedDown_Self	Não te deixaremos morrer!
PartyBanter/&Heroic3_Allied_KnockedDown_Self	Ninguém fica pra trás!
PartyBanter/&Heroic1_Trap_Trigerred_Other	É preciso mais atenção, camarada!
PartyBanter/&Heroic2_Trap_Trigerred_Other	Você está sem foco.
PartyBanter/&Heroic3_Trap_Trigerred_Other	Um pouco mais de cuidado, pode ser?
PartyBanter/&Heroic1_Trap_Disarmed_Other	Bom trabalho!
PartyBanter/&Heroic2_Trap_Disarmed_Other	Muito bem, camarada!
PartyBanter/&Heroic3_Trap_Disarmed_Other	Suas habilidades são impressionantes!
PartyBanter/&Heroic1_Long_Jump_Other	Que salto fantástico!
PartyBanter/&Heroic2_Long_Jump_Other	Você treinou muito bem!
PartyBanter/&Heroic3_Long_Jump_Other	Impressionante!
PartyBanter/&Heroic1_High_Climb_Other	Que impressionante.
PartyBanter/&Heroic2_High_Climb_Other	Você está em muito boa forma.
PartyBanter/&Heroic3_High_Climb_Other	Eu te subestimei. Peço desculpas!
PartyBanter/&Heroic1_Break_Stealth_Other	Isso não foi nada esperto.
PartyBanter/&Heroic2_Break_Stealth_Other	Você vai precisar se esforçar mais!
PartyBanter/&Heroic3_Break_Stealth_Other	Mais cuidado na próxima vez!
PartyBanter/&Heroic1_Pushing_Heavy_Other	Use toda a sua força!
PartyBanter/&Heroic2_Pushing_Heavy_Other	Você consegue!
PartyBanter/&Heroic1_Crawling_Other	Às vezes, não há escolha.
PartyBanter/&Heroic2_Crawling_Other	Eu também não gosto disso.
PartyBanter/&Heroic1_Critical_Hit_Received_Other	Coragem!
PartyBanter/&Heroic2_Critical_Hit_Received_Other	Você ainda tá de pé!
PartyBanter/&Heroic1_Normal_Hit_Received_Other	Você aguenta!
PartyBanter/&Heroic2_Normal_Hit_Received_Other	Vai passar!
PartyBanter/&Heroic1_Critical_Hit_Given_Other	Assim que se faz!
PartyBanter/&Heroic2_Critical_Hit_Given_Other	Magistral!
PartyBanter/&Heroic3_Critical_Hit_Given_Other	Você certamente triunfará!
PartyBanter/&Heroic1_Normal_Hit_Given_Other	Bem dado!
PartyBanter/&Heroic2_Normal_Hit_Given_Other	Perfeito!
PartyBanter/&Heroic3_Normal_Hit_Given_Other	Vai em frente!
PartyBanter/&Heroic1_Missed_Attack_Other	Boa sorte na próxima!
PartyBanter/&Heroic2_Missed_Attack_Other	Não perca as esperanças!
PartyBanter/&Heroic3_Missed_Attack_Other	Foi só azar!
PartyBanter/&Heroic1_Kill_Enemy_Other	A vitória é sua!
PartyBanter/&Heroic2_Kill_Enemy_Other	Jogada impressionante, camarada!
PartyBanter/&Heroic3_Kill_Enemy_Other	Ninguém tem a sua habilidade, bravo!
PartyBanter/&Formal1_Trap_Detected_Self	Uma armadilha rudimentar.
PartyBanter/&Formal2_Trap_Detected_Self	Não vão nos enganar tão fácil.
PartyBanter/&Formal3_Trap_Detected_Self	Detectei uma espécie de armadilha.
PartyBanter/&Formal1_Secret_door_Detected_Self	Acredito que seja uma porta escondida.
PartyBanter/&Formal2_Secret_door_Detected_Self	Isso tem que ser uma passagem secreta.
PartyBanter/&Formal3_Secret_door_Detected_Self	Interessante: uma porta secreta.
PartyBanter/&Formal1_Trap_Trigerred_Self	Que tolice, a minha!
PartyBanter/&Formal2_Trap_Trigerred_Self	Como eu não vi?
PartyBanter/&Formal3_Trap_Trigerred_Self	Eu tenho mesmo que tomar mais cuidado.
PartyBanter/&Formal1_Trap_Disarmed_Self	Quanta simplicidade!
PartyBanter/&Formal2_Trap_Disarmed_Self	Menos complexo do que eu esperava.
PartyBanter/&Formal3_Trap_Disarmed_Self	Inteligente, mas não imbatível.
PartyBanter/&Formal1_Light_up_Self	Um pouco de luz é sempre bem-vinda.
PartyBanter/&Formal2_Light_up_Self	Que haja luz!
PartyBanter/&Formal3_Light_up_Self	Benditos sejam os Portadores da Luz!
PartyBanter/&Formal1_Break_Stealth_Self	Maldição! Falha minha.
PartyBanter/&Formal2_Break_Stealth_Self	Eu realmente achei... deixa pra lá.
PartyBanter/&Formal3_Break_Stealth_Self	Que canseira.
PartyBanter/&Formal1_Critical_Hit_Given_Self	Rá! Toma isso, peste!
PartyBanter/&Formal2_Critical_Hit_Given_Self	Bem no ponto fraco!
PartyBanter/&Formal3_Critical_Hit_Given_Self	A morte te procura!
PartyBanter/&Formal1_Normal_Hit_Given_Self	Nada mau, hein?
PartyBanter/&Formal2_Normal_Hit_Given_Self	Um sucesso modesto!
PartyBanter/&Formal3_Normal_Hit_Given_Self	Um golpe palpável!
PartyBanter/&Formal4_Normal_Hit_Given_Self	Sorte? Talvez.
PartyBanter/&Formal5_Normal_Hit_Given_Self	Treinei duro para isso!
PartyBanter/&Formal1_Missed_Attack_Self	O destino é imprevisível!
PartyBanter/&Formal2_Missed_Attack_Self	Que infelicidade.
PartyBanter/&Formal3_Missed_Attack_Self	O que conta é o último golpe!
PartyBanter/&Formal4_Missed_Attack_Self	Na próxima, eu juro que...
PartyBanter/&Formal5_Missed_Attack_Self	Ainda vou te pegar!
PartyBanter/&Formal1_Kill_Enemy_Self	Um inimigo a menos!
PartyBanter/&Formal2_Kill_Enemy_Self	A morte te convocou!
PartyBanter/&Formal3_Kill_Enemy_Self	A vitória é minha!
PartyBanter/&Formal4_Kill_Enemy_Self	Uma vitória digna de música!
PartyBanter/&Formal5_Kill_Enemy_Self	Mais uma vitória!
PartyBanter/&Formal1_Healed_by_ally_Self	Você é uma verdadeira bênção.
PartyBanter/&Formal2_Healed_by_ally_Self	Sua parceria é muito valiosa.
PartyBanter/&Formal3_Healed_by_ally_Self	Estou te devendo, camarada.
PartyBanter/&Formal1_Allied_KnockedDown_Self	A luta ainda não acabou!
PartyBanter/&Formal2_Allied_KnockedDown_Self	O resto do grupo vai te salvar!
PartyBanter/&Formal3_Allied_KnockedDown_Self	Estamos indo!
PartyBanter/&Formal1_Trap_Trigerred_Other	Tsc. Um erro elementar.
PartyBanter/&Formal2_Trap_Trigerred_Other	Olha por onde anda, camarada!
PartyBanter/&Formal3_Trap_Trigerred_Other	Um erro perigoso.
PartyBanter/&Formal1_Trap_Disarmed_Other	Execução perfeita!
PartyBanter/&Formal2_Trap_Disarmed_Other	Meus parabéns pelo trabalho bem feito.
PartyBanter/&Formal3_Trap_Disarmed_Other	Sua habilidade é impressionante.
PartyBanter/&Formal1_Long_Jump_Other	Que salto extraordinário!
PartyBanter/&Formal2_Long_Jump_Other	Impressionante, de fato!
PartyBanter/&Formal3_Long_Jump_Other	Que preparo físico!
PartyBanter/&Formal1_High_Climb_Other	Quanta força!
PartyBanter/&Formal2_High_Climb_Other	Você nem se esforçou!
PartyBanter/&Formal3_High_Climb_Other	Claramente, você treinou muito.
PartyBanter/&Formal1_Break_Stealth_Other	Até os defuntos te ouviram!
PartyBanter/&Formal2_Break_Stealth_Other	Claro que te detectaram!
PartyBanter/&Formal3_Break_Stealth_Other	Será que dá pra fazer mais barulho?
PartyBanter/&Formal1_Pushing_Heavy_Other	Você consegue!
PartyBanter/&Formal2_Pushing_Heavy_Other	Empurra... com toda a sua força!
PartyBanter/&Formal1_Crawling_Other	Pouco digno, mas necessário.
PartyBanter/&Formal2_Crawling_Other	De joelhos agora, de pé depois.
PartyBanter/&Formal1_Critical_Hit_Received_Other	Ainda está consciente?
PartyBanter/&Formal2_Critical_Hit_Received_Other	Foi um golpe de sorte!
PartyBanter/&Formal1_Normal_Hit_Received_Other	Fica firme: você já aguentou coisa pior!
PartyBanter/&Formal2_Normal_Hit_Received_Other	Você ainda está na luta, camarada!
PartyBanter/&Formal1_Critical_Hit_Given_Other	Um golpe certeiro!
PartyBanter/&Formal2_Critical_Hit_Given_Other	Uma pancada linda!
PartyBanter/&Formal3_Critical_Hit_Given_Other	Verdadeiramente formidável!
PartyBanter/&Formal1_Normal_Hit_Given_Other	Bem dado!
PartyBanter/&Formal2_Normal_Hit_Given_Other	Muito bem!
PartyBanter/&Formal3_Normal_Hit_Given_Other	Agora você pegou de jeito!
PartyBanter/&Formal1_Missed_Attack_Other	Ah! Que azar!
PartyBanter/&Formal2_Missed_Attack_Other	Na próxima, vai!
PartyBanter/&Formal3_Missed_Attack_Other	Tenta de novo!
PartyBanter/&Formal1_Kill_Enemy_Other	Bravo! A vitória é sua!
PartyBanter/&Formal2_Kill_Enemy_Other	Como dizem: uma morte limpa.
PartyBanter/&Formal3_Kill_Enemy_Other	Menos um inimigo!
PartyBanter/&None1_Thief_Detected_Self	Me deixa em paz!
PartyBanter/&None2_Thief_Detected_Self	Ah, ladrões...
PartyBanter/&None3_Thief_Detected_Self	Tire as mãos!
PartyBanter/&None4_Thief_Detected_Self	Então você é assim...
